nom,ref,url,composition,proteines,matieres_grasses,cellulose,cendres,humidite,calcium,phosphore,sodium
REAL NATURE Country Selection Alpine dindon et bœuf alpin 1 kg,,https://www.maxizoo.fr/p/real-nature-country-selection-alpine-dindon-et-buf-alpin-1-kg-1237409002/,,,,,,,,,
REAL NATURE Country Selection Irish Green agneau irlandais au canard 12 kg,,https://www.maxizoo.fr/p/real-nature-country-selection-irish-green-agneau-irlandais-au-canard-12-kg-1337219/,,,,,,,,,
REAL NATURE COUNTRY SELECTION Mediterran buffle et bœuf 1 kg,,https://www.maxizoo.fr/p/real-nature-country-selection-mediterran-buffle-et-buf-1-kg-1237409006/,,,,,,,,,
REAL NATURE Country Selection Mini Adult Scandinavie 1 kg,,https://www.maxizoo.fr/p/real-nature-country-selection-mini-adult-scandinavie-1-kg-1237409001/,,,,,,,,,
REAL NATURE Original Adult Bœuf au Canard 12 kg,,https://www.maxizoo.fr/p/real-nature-original-adult-buf-au-canard-12-kg-1347540/,,,,,,,,,
REAL NATURE WILDERNESS Adult Pure Beef 1 kg,,https://www.maxizoo.fr/p/real-nature-wilderness-adult-pure-beef-1-kg-1373890/,,,,,,,,,
REAL NATURE WILDERNESS Adulte Pur Saumon 1 kg,,https://www.maxizoo.fr/p/real-nature-wilderness-adulte-pur-saumon-1-kg-1373905/,,,,,,,,,
REAL NATURE WILDERNESS Adulte Pure Agneau 1 kg,,https://www.maxizoo.fr/p/real-nature-wilderness-adulte-pure-agneau-1-kg-1259583003/,,,,,,,,,
REAL NATURE WILDERNESS Adulte Pure Chicken 12 kg,,https://www.maxizoo.fr/p/real-nature-wilderness-adulte-pure-chicken-12-kg-1259585001/,,,,,,,,,
REAL NATURE WILDERNESS Adulte Pure Duck 1 kg,,https://www.maxizoo.fr/p/real-nature-wilderness-adulte-pure-duck-1-kg-1259583002/,,,,,,,,,
REAL NATURE WILDERNESS Black Earth Bœuf & buffle 1 kg,,https://www.maxizoo.fr/p/real-nature-wilderness-black-earth-buf--buffle-1-kg-1083996009/,,,,,,,,,
REAL NATURE WILDERNESS bœuf et chèvre 1 kg,,https://www.maxizoo.fr/p/real-nature-wilderness-buf-et-chvre-1-kg-1083996012/,,,,,,,,,
"REAL NATURE WILDERNESS Croquettes pour chien, Adulte, Great Outback Lapin, Kangourou et Bœuf 4 kg",,https://www.maxizoo.fr/p/real-nature-wilderness-croquettes-pour-chien-adulte-great-outback-lapin-kangourou-et-buf-4-kg-1083997010/,,,,,,,,,
"REAL NATURE WILDERNESS Dark Fjord Cerf, saumon et canard 1 kg",,https://www.maxizoo.fr/p/real-nature-wilderness-dark-fjord-cerf-saumon-et-canard-1-kg-1083996006/,,27,,,8.2,,,,
REAL NATURE WILDERNESS Dark Wood Agneau avec Gibier 1 kg,,https://www.maxizoo.fr/p/real-nature-wilderness-dark-wood-agneau-avec-gibier-1-kg-1307227/,,,,,,,,,
REAL NATURE WILDERNESS Fresh Water Adult Poisson 1 kg,,https://www.maxizoo.fr/p/real-nature-wilderness-fresh-water-adult-poisson-1-kg-1083996003/,,,,,,,,,
REAL NATURE WILDERNESS Golden Peak Oie et canard 1 kg,,https://www.maxizoo.fr/p/real-nature-wilderness-golden-peak-oie-et-canard-1-kg-1302407/,,,,,,,,,
REAL NATURE WILDERNESS Junior True Country poulet au poisson 1 kg,,https://www.maxizoo.fr/p/real-nature-wilderness-junior-true-country-poulet-au-poisson-1-kg-1083996001/,,,,,,,,,
REAL NATURE WILDERNESS Junior Wild Valley Cheval et bœuf 1 kg,,https://www.maxizoo.fr/p/real-nature-wilderness-junior-wild-valley-cheval-et-buf-1-kg-1083996011/,,,,,,,,,
REAL NATURE WILDERNESS Maxi Adult Black Bœuf à l'autruche et au buffle 4 kg,,https://www.maxizoo.fr/p/real-nature-wilderness-maxi-adult-black-buf--lautruche-et-au-buffle-4-kg-1266121001/,,,,,,,,,
"REAL NATURE WILDERNESS Maxi Adult Wide Savannah avec sanglier, agneau et canard 12 kg",,https://www.maxizoo.fr/p/real-nature-wilderness-maxi-adult-wide-savannah-avec-sanglier-agneau-et-canard-12-kg-1083998010/,,,,,,,,,
REAL NATURE WILDERNESS Maxi Junior Pur Canard 4 kg,,https://www.maxizoo.fr/p/real-nature-wilderness-maxi-junior-pur-canard-4-kg-1297082/,,,,,,,,,
REAL NATURE WILDERNESS Mini Adult Green Coast canard au saumon et aux crevettes 1 kg,,https://www.maxizoo.fr/p/real-nature-wilderness-mini-adult-green-coast-canard-au-saumon-et-aux-crevettes-1-kg-1083996008/,,,,,,,,,
REAL NATURE WILDERNESS Mini Rocky Hills Bœuf & Chèvre 1 kg,,https://www.maxizoo.fr/p/real-nature-wilderness-mini-rocky-hills-buf--chvre-1-kg-1083996013/,,,,,,,,,
REAL NATURE WILDERNESS Senior Dark Fjord Cerf et saumon 4 kg,,https://www.maxizoo.fr/p/real-nature-wilderness-senior-dark-fjord-cerf-et-saumon-4-kg-1322432/,,,,,,,,1.1,
REAL NATURE WILDERNESS Senior True Country Poulet au poisson 1 kg,,https://www.maxizoo.fr/p/real-nature-wilderness-senior-true-country-poulet-au-poisson-1-kg-1083996007/,,,,,,,,,
REAL NATURE WILDERNESS True Country Adult Poulet au poisson 1 kg,,https://www.maxizoo.fr/p/real-nature-wilderness-true-country-adult-poulet-au-poisson-1-kg-1083996002/,,,,,,,,,
REAL NATURE WILDERNESS Wide Savannah Sanglier avec agneau et canard 1 kg,,https://www.maxizoo.fr/p/real-nature-wilderness-wide-savannah-sanglier-avec-agneau-et-canard-1-kg-1083996004/,,,,,,,,,
REAL NATURE WILDERNESS Wild Valley Cheval et bœuf 4 kg,,https://www.maxizoo.fr/p/real-nature-wilderness-wild-valley-cheval-et-buf-4-kg-1083997005/,,,,,,,,,
ROYAL CANIN Club Special Performance Adulte CC Croquettes Chien 15 kg,,https://www.maxizoo.fr/p/royal-canin-club-special-performance-adulte-cc-croquettes-chien-15-kg-1002565004/,,,,,,,,,
"ROYAL CANIN Giant Chiot Croquettes Chien 3,5 kg",,https://www.maxizoo.fr/p/royal-canin-giant-chiot-croquettes-chien-35-kg-1278345/,,,,,,,,,
